,answers,district,month,query-type,questions,state
47,"['VARIETY OF PUMPKIN --BAIDYABAITY ,GUAMALA,ARKACHANDAN,BHAIRAVI.', 'VARIETY OF PUMPKIN--BAIDYBATI,GUAMALA,ARKACHANDAN,PUSA BISWAS,', 'VARIETY OF PUMPKIN --BAIDYBATI,GUAMALA,ARKACHANDAN,PUSABISWAS', 'VNR 11, VNR 14, KANCHAN, VNR P 7, VNR P 6', 'VARIETY OF PUMPKIN--BAIDYA BATI,GUAMALA,ARKACHANDAN,PUSA BISWAS', 'VARIETY OF PUMPKIN --BAIDYA BATI,GUAMALA,ARKA CHANDAN,PUSA BISWAS', 'VARIETY OF PUMPKIN---BAIDYBATI,GUAMAL,ARKACHANDAN,BHAIRABI']",BALANGIR,3,Cultural Practices,of pumpkin variety,ODISHA
48,['Recommended for Spray Mancozeb 63% + Carbendazim 12% WP 40 gram and steptrocyclin 2 gram at 15 liter of water. |'],SAGAR,2,	Plant Protection	,about control farmer how in information know lentil to to want wilt,MADHYA PRADESH
49,['SPRAY SOLUBLE NPK  18:18:18 GRADE 10 GM/LTR WATER'],BARMER,9,Nutrient Management,management me moong nutrient tell,RAJASTHAN
50,['Recommended for Please contact your RHEO or horticulture department in your dist.'],JABALPUR,2,Government Schemes,farmar government horticulture information know schemes to want,MADHYA PRADESH
51,"['Spray emamectin benjoate  8- 10 gram or corajan, fem 4-5 ml at 15 liter of water or indoxa carb 12-15 ml at 15 liter of water.', 'Queenolfos 25 EC 1000 Ml. / hac. Rate of spray.', 'control for catterpiller in brinjal  crop spray of Troijofos 40 EC (??-40ml /pump ) 1000 Ml. / hac.']",SAGAR,9,	Plant Protection	,about brinjal caterpillars control crop farmer how in information know to to want,MADHYA PRADESH
52,['Recommended for Spray imidachloprid 17.8%SL 5 to 7 ml  per pump.'],JABALPUR,5,	Plant Protection	,about control crop farmer gram grren in know of pest sucking to want,MADHYA PRADESH
53,"['VARITIES OF PEA=ARKIL,HARABONA,BONVEELA']",ALWAR,9,Seeds and Planting Material,me of pea tell varities,RAJASTHAN
54,"['DRENCHING OF CARBENDAZIM 1 KG PER HA IN ROOT ZONE WITH IRRIGATION', 'USE TRICHODERMA 2.5 KG PER 100 KG FYM', 'USE HEXACONAZOLE 5% EC 1 LITER PER HA WITH IRRIGATION', 'SPRAY OF RIDOMIL MZ(METALEXYL+MENCOZEB) 2 GM PER LITER WATER', 'SPRAY OF DIFENACONAZOLE 0.5 ML PER LITER WATER', 'SPRAY OF MENCOZEB 2 GM PER LITER WATER', 'SPRAY OF CARBENDAZIM 12% + MANCOZEB 63% WP 2 GM PER LITER WATER']",BARMER,1,	Plant Protection	,about control cumin disease in me tell,RAJASTHAN
55,['SPRAY OF MENCOZEB 2 GM PER LITER WATER'],ALWAR,1,	Plant Protection	,control funges me mustard of tell,RAJASTHAN
56,"['SPRAY OF TRIZOPHOS 40% EC 2 ML PER LITER WATER', 'SPRAY OF THIOMETHOXAM 25% WG 0.5 GM  PER LITER WATER']",ALWAR,8,	Plant Protection	,about control in insect me tell,RAJASTHAN
57,['SPRAY OF THIOUREA .5 GM/LITRE'],ALWAR,2,	Plant Protection	,growth in tellme wheat,RAJASTHAN
58,['SPRAY SOLUBLE NPK  18:18:18 GRADE 10 GM/LTR WATER'],ALWAR,6,Fertilizer Use and Availability,alwar growth in me tell,RAJASTHAN
59,['Recommended for Spray N: P: K 19:19:19 100 grams and humic acid 30 ml at 15 liter of water.'],MANDLA,3,Nutrient Management,and better coriander crop fertilizer for give growth in nutrient which,MADHYA PRADESH
60,['SPRAY  OF PROPICONAZOLE 1 ML PER LITER WATER'],ALWAR,2,	Plant Protection	,crop in me rust tell wheat yellow,RAJASTHAN
61,"['FERTILIZER IN LEMON OF 5 YRS. FYM= 20 KG, UREA= 100 GM, DAP= 100 GM, MOP= 100 GM PER PLANT']",ALWAR,9,Nursery Management,5 fertiliser for mango me plant tell year,RAJASTHAN
62,['Recommended for to control sucking pest in crop spray fipronil (Regent) @ 25 ml at 15 liter of water.'],JABALPUR,5,	Plant Protection	,about bhindi control crop farmer in information know pest sucking to want,MADHYA PRADESH
63,['SPRAY NOVALURON 1ML/1LITRE OF WATER'],BALASORE,1,	Plant Protection	,borer shoot,ODISHA
64,"['Different vegetable companies- Ankur , Rashi Akshay , Nirmal ,Mahyco , Ganga-kaveri , Indo-american ,Nujiveedu, Nunhems , Syngenta , Bayer , Coromandal , Pionear , Shriram , Prachisuper ,Nonu seed ,Bejo , Seminis ,Evergreen , Holar seeds , Norseco, Prashant  ETC.']",SAGAR,6,Cultural Practices,componies crops farmer known list of to vegetable want,MADHYA PRADESH
65,['SPRAY OF RIDOMIL MZ(METALEXYL+MENCOZEB) 2 GM PER LITER WATER'],BARMER,2,	Plant Protection	,about in isabgol me plant protection tell,RAJASTHAN
66,"['Recommended for chance of coming monsoon rain til 20 june in M.P. .', 'Recommended for chance of coming monsoon after 22 June', 'Recommended for chance of coming monsoon rain til 13 june in M.P. .', 'Recommended for chance of coming monsoon rain til 15 june in M.P. .', 'Recommended for chance of coming monsoon 15-18 June.', 'Recommended for chance of coming monsoon 15-18 June', 'Recommended for chance of coming monsoon after 15 of June']",SAGAR,6,Weather,about farmer information know monsoon to wants,MADHYA PRADESH
67,['SPRAY OF ATRAZINE 2.5 GM PER LITER WATER AFTER SOWING BUT BEFORE GERMINATION'],BARMER,7,Weed Management,control in me milliet of pearl tell weed,RAJASTHAN
68,['SPRAY OF ACETAMIPRID 20% SP 0.5 GM PER LITER WATER'],ALWAR,7,	Plant Protection	,about control cotton in insect me tel,RAJASTHAN
69,['2 GRAM KARBANDAZIM POWDER'],BARMER,8,Weather,collor groundnut in me rot tell,RAJASTHAN
70,"['Recommended for to control sucking pest Spray any one of the following insecticides in the initial stage of infestation Recommended for to control sucking pest in crop spray imedachlorprid 5-7 ml at 15 liter of water.', 'Recommended for to control sucking pest in crop spray imedachlorprid 5-7 ml at 15 liter of water.', 'Recommended for to control sucking pest Spray any one of the following insecticides in the initial stage of infestation ,\r\n\xe2\x80\xa2we recommended spraying dimethoate 30 EC 30 ml/pump\r\n\xe2\x80\xa2we recommended spraying methyl demeton 25 EC@ 30 ml/pump.', 'Recommended for to control sucking pest in soybean crop spray acitamiprid 10gm at 15 liter of water.', 'Recommended for to control sucking pest Spray any one of the following insecticides in the initial stage of infestation \r\n\xe2\x80\xa2\tdimethoate 30 EC 500 ml/ha \r\n\xe2\x80\xa2\tMethyl demotion 25 EC@ 500 ml/ha.', 'Recommended for to control sucking pest  Spray any one of the following insecticides in the initial stage of infestation \r\ndimethoate 30 EC 500 ml/ha \r\nmethyl demeton 25 EC@ 500 ml/ha.\r\nFipronil 5% 30 ml per pump\t\r\nRecommended for to control sucking pest in crop spray imedachlorprid 5-7 ml at 15 liter of water.', 'recommended -dimethoate 30 EC 500 ml/ha .', 'Recommended for to control of fungal attack use copper oxy chloride 40 gram and streptocyclin 2 gram at 15 liter of water']",SAGAR,8,Weather,about chilli control crop farmer how in information know pest sucking to to wants,MADHYA PRADESH
71,['MAINTAIN MALE : FEMALE @ 1:9 FOR PROPER FRUIT SETTING IN POINTED GOURD'],CUTTACK,4,Cultural Practices,for fruit gourd in pointed proper setting,ODISHA
72,"['priya,rigal,strike,indam early-varieties of cucumber']",CUTTACK,6,Fertilizer Use and Availability,cucumber of varieties,ODISHA
73,"['?\tSpray imidacloprid 17.8 SL (Admire, confidor 200 SC, 250 ml per hectare) 5-7 ml at 15 liter of water.']",SAGAR,3,	Plant Protection	,control crop farmer how in information needs onoin pest regarding sucking to,MADHYA PRADESH
74,['CONTECT FOR 0141-5116242'],AJMER,4,Fertilizer Use and Availability,knowledge me oranic registration related tell,RAJASTHAN
75,['RECOMMENDED TO SPRAY SPINOSAD 1ML/3 LIT WATER FOR CONTROL OF FRUIT BORER IN BITTERGOURD'],BALASORE,4,	Plant Protection	,bittergourd borer fruit in,ODISHA
76,"['NAGAUR MANDI RATE OF JEERA (CUMIN) 18100 RS./QT.', 'JODHPUR (GRAIN)MANDI RATE OF JEERA (CUMIN) 16110 RS./QT.', 'JODHPUR (GRAIN)MANDI RATE OF JEERA (CUMIN) 13750 RS./QT.', 'JODHPUR MANDI RATE OF   JEERA (CUMIN) 15950  RS/QUNTAL']",BARMER,8,Market Information,about jeera mandi me of rate tell,RAJASTHAN
77,['USE OF CARBNANDAZIM 250 GM/BIGHA WITH IRIGARTION'],BARMER,1,	Plant Protection	,black control ion me rot tell,RAJASTHAN
78,['SPRAY OF ACEPHATE 75% SP 2 GM PER LITER WATER + MENCOJEB 2GM PAR LITAR WATER'],ALWAR,8,	Plant Protection	,about blight control in karonda me tell,RAJASTHAN
79,"['14mm on 10th Sept,light rainfall for other days of week']",BALANGIR,9,Weather,balangir for khaprakhol rainfall,ODISHA
80,['SPRAY OF THIOMETHOXAM 25% WG 0.5 GM  PER LITER WATER'],ALWAR,8,	Plant Protection	,control in insect me of tell,RAJASTHAN
81,['SPRAY OF MULTIPLAX (MICRONUTRIENT) 4 ML PER LITER WATER'],ALWAR,3,Nutrient Management,in management me micro nutrient papaya tell,RAJASTHAN
82,['SPRAY OF PLANOFIX 1 ML PER 4 LITER WATER'],AJMER,8,Nutrient Management,control cotton droping flower in me of tell,RAJASTHAN
83,"['FYM-20 KF,UREA-100 GM,SSP-250 GM/PLANT']",AJMER,3,Fertilizer Use and Availability,anar fertilize in me tell,RAJASTHAN
84,['RECOMMENDED TO SPRAY CHLOROPYRIPHOUS 2ML/ LIT WATER FOR CONTROL OF LEAF EATING CATER PILLAR IN GROUNDNUT'],BALANGIR,7,	Plant Protection	,cater eating groundnut in leaf pillar,ODISHA
85,"['Recommended to control of fungal attack use Copper Oxychloride(BLITOX ,BLUECOPPER) 50% WP. @40 gram and streptocyclin 2 gram at 15 liter of water.']",JABALPUR,9,	Plant Protection	,about attack bittergourd control crop farmer fungal how information know of of to to want,MADHYA PRADESH
86,"['MAINTAIN FEMALE : MALE @ 9:1 RATION FOR FRUIT DROP IN POINTED GOURD', 'Spray Fantac Plus @ 1 Ml/ 2 Lit of Water', 'MAINTED MALE : FEMALE RATIO @ 1:9 FOR FRUIT DROP IN POINTED GOURD', 'MAINTAIN FEMALE :MALE ROOT RATIO @ 9:1 FOR FRUIT DROP IN POINTED GOURD']",CUTTACK,3,Cultural Practices,drop fruit gourd in pointed,ODISHA
87,['Novaluron 10 % EC @7.5 ml/10 litre of water to control fruit borer in tomato.'],SAGAR,8,	Field Preparation	,about borer brinjal control crop farmer fruit how in know to to want,MADHYA PRADESH
88,['RECOMMENDED TO SPRAY TATAMIDA 1ML/ 3 LIT WATER FOR CONTROL OF SUCKING PEST IN MANGO'],BALANGIR,5,	Plant Protection	,in mango pest sucking,ODISHA
89,['RECOMMENDED TO SPRAY RIDOMIL GOLD @ 2.5 GRAM / 1 LIT OF WATER'],CUTTACK,5,	Plant Protection	,brinjal in leaves of yellowing,ODISHA
90,['NO RAINFALL NEXT FIVE DAYS'],BARMER,8,Weather,information me tell weaterh,RAJASTHAN
91,['SPRAY OF DIMETHOATE  30% EC 2 ML PER LITER WATER'],ALWAR,5,	Plant Protection	,control fruit in jack me of sucking tell,RAJASTHAN
92,['To know information about agriculture please contact to your department of agriculture or please contact rural agriculture extension officer ...'],DAMOH,7,Cultural Practices,about agriculture farmer information informfation know to wants,MADHYA PRADESH
93,['FARVARI MARCH SOWING TIME'],ALWAR,2,	Plant Protection	,anola me of sowing tell time,RAJASTHAN
94,['Recommended for spray  Mencozeb + Carbindazim (Saaf or  sixer)@ 30 g /pump .'],DAMOH,1,	Plant Protection	,control crop farmer fungal how in infection know to to want wheat,MADHYA PRADESH
95,['recommended for to control shoot borer in soyabean crop spray cartap hydrochloride 50% sp @300-400gm/acer'],SAGAR,8,	Plant Protection	,about borer control crop farmer how in information know soyabean to to want,MADHYA PRADESH
96,['keltica plant tonic 3 ml/ 16 litre of water'],DAMOH,2,	Plant Protection	,about capsicum crop farmer information know of plant to tonic want,MADHYA PRADESH
97,['18001030061'],BARMER,7,	Plant Protection	,beema fasal me tell yozna,RAJASTHAN
98,['JODHPUR MANDI ME  MOTH KE BHAV = 3352 RS./QUT.'],BARMER,4,Market Information,information market me moth of tell,RAJASTHAN
99,['SPRAY OF COPPER OXICHLORIDE 3 GM PER LITER WATER'],ALWAR,9,	Plant Protection	,control disease me of orange tell,RAJASTHAN
100,['Spray corajan Chlorantraniliprole 18.5% SC 4-5 ml at 15 liter of water.'],SAGAR,6,	Plant Protection	,about caterpillars cauliflower control crop farmer how in information know to to wants,MADHYA PRADESH
101,['Recommended for Spray Use indoxa carb 14.5 % SC @ 10 ml at 15 liter of water.'],DAMOH,7,	Plant Protection	,about bore brinjal control crop farmer fruit how in information know to to want,MADHYA PRADESH
102,['SPRAY OF INDOXACARB 14.5% SC 1 ML PER LITER WATER'],AJMER,9,	Plant Protection	,borer control me moong of pod tell,RAJASTHAN
103,['Recommended for N: P: K 0:52:34 1 kg at per Acer'],JABALPUR,1,Fertilizer Use and Availability,and bengal crop gram how in increase production size to,MADHYA PRADESH
104,['BARMER MANDI \tTIL  BHAV \t5600/RS.QU'],BARMER,1,Market Information,in information market me tell til,RAJASTHAN
105,"['Please use organic mannure and insecticide on your field.', 'Bramhastra-  10 liter cow urin, 3 kg neem leaf, 2 kg pongamia leaf, 2 kg  custard apple leaf, 2 kg bel leaf, 2 kg castor leaf and 2 kg dhatura leaf\r\nRecipes:- none of these five ingredients to mix all the ingredients in urine boiled in a clay pot put on the fire when approaching the four-boiled 48 hours in shade to cool off from the fire. Then cloth to filter storage.\r\nDuration of use: Use -bramhastra six months now.\r\nNote: Please storage in a clay pot. Urine do not keep metal utensils.\r\nSpraying: One acre 3 to 4 liters to 100 liters of water mixed spraying Brahmastra.', 'Please use \r\norganic mannure and insecticide on your field.']",JABALPUR,7,Organic Farming,farmer farming for information needs organic,MADHYA PRADESH
106,['SPRAY OF PLANOFIX 1 ML PER 4 LITER WATER'],ALWAR,6,	Plant Protection	,fruit in jamun me no tell,RAJASTHAN
107,"['FYM-25 KG,SSP-300,UREA-100 GM,MICRINUTRIENT 100 GM,QUINALPHOS 100 GM/LITRE']",BARMER,9,Fertilizer Use and Availability,growth in lwemon me tell,RAJASTHAN
108,['indoxa carb 10 ml at 15 liter of water.'],SAGAR,8,	Plant Protection	,aphid control crop how in moong to,MADHYA PRADESH
109,['FERTILIZER DOSE FOR DRUMSTICK - APPLY UREA 250 GRAM + S.S.P.- 1 KILO + MICRONUTRIENTS - 250 GRAM + NEEM CAKE - 150 GRAM / PLANT .'],RAIGARH,5,Nutrient Management,about asked dose drumstick fertilizer for,MAHARASHTRA
110,['SPRAY OF COPPER OXICHLORIDE 45 GM + STREPTOCYCLIN 2 GM PER 15 LITER WATER'],BARMER,1,	Plant Protection	,bacterial blight control cummin disease in me tell,RAJASTHAN
111,['DRENCHING OF CARBENDAZIM 2 GM PER LITER'],ALWAR,7,	Plant Protection	,carbendazim in mango me of tell use,RAJASTHAN
112,"[""Dear in your's khurai mandi the rate of lentil crop is 3050 Rs. minimum/quintal 3230 Rs. maximum/quintal 3100 Rs. average/quintal.""]",SAGAR,6,Market Information,about at farmer khurai know lentil madhya mandi of of pradesh rate to wants,MADHYA PRADESH
113,"['SPRAY IMIDACLORPRID @ 6ML/15LIT WATER FOR THRIPS IN CHILLI', 'SPRAY PYMETROZINE (CHESS) @ 6ML/15LIT WATER FOR THRIPS IN CHILLI']",BALASORE,3,	Plant Protection	,chilli in thrips,ODISHA
114,"['?\tSpray imidacloprid 17.8 SL (Admire, confidor 200 SC, 250 ml per hectare) 5-7 ml at 15 liter of water.']",JABALPUR,2,	Plant Protection	,control crop farmer how in information jabalpur needs pest regarding sucking to,MADHYA PRADESH
115,"['SPRAY OF ACEPHATE 75% SP 2 GM PER LITER WATER', 'DUSTING OF METHYL PARATHIAN 2% 25 KG PER HA']",BANSWARA,7,	Plant Protection	,control cut in me mustard tell worm,RAJASTHAN
116,['CONTACT NUMBER FOR MASRUM TRANING  KVK GANGANAGAR = 0154-2440532'],ALWAR,4,Government Schemes,about info me mushroom tell,RAJASTHAN
117,['RAIN RAINFALL POSSIBILITY IN 5 DAYS IN YOUR DISTRICT'],BARMER,8,Weather,barmer in me report tell wather,RAJASTHAN
118,"['Recommended for Spray Use imidaclorprid 17.8%SL @5 to 6 ml per pump.', 'Recommended for Spray Use dimethoate 30 EC 30 ML PER PUMP']",SAGAR,7,	Plant Protection	,about aphids control crop farmer how in information know to to urd want,MADHYA PRADESH
