,answers,district,month,query-type,questions,state
31,['SPRAY OF DIMETHOATE  30% EC 2 ML PER LITER WATER  \r\nSPRAY OF MENCOZEB 2GM PAR LITAR WATER'],ALWAR,6,	Plant Protection	,and bhindi controle fungs in me pest tell,RAJASTHAN
32,['USE IMIDACHLOPRID 17.8% SL 1 LITER PER HA WITH IRRIGATION FOR CONTROL OF TERMITE'],ALWAR,3,	Plant Protection	,gram in me plant protection tell,RAJASTHAN
33,['Recommended for to control sucking pest Spray any one of the following insecticides in the initial stage of infestation \r\ndimethoate 30 EC 500 ml/ha \r\nmethyl demeton 25 EC@ 500 ml/ha.'],SAGAR,2,	Plant Protection	,about control crop farmer gram how in information know pest sucking to to wants,MADHYA PRADESH
34,"['Latest Market Prices Available Sagar, Madhya Pradesh (18/05/2017)\r\n Bina\tBengal Gram(Gram)\t350\tTonnes\tNR\tKanta\tFAQ\t4500\t5950\t5350\tRs/Quintal']",SAGAR,5,Market Information,05 18 2017 about about available crop farmer gram information know latest madhya market market pradesh prices rate sagar to wants,MADHYA PRADESH
35,"['RECOMMENDED TO SPRAY COPPER OXYCHLORIDE @ 2.5 GRAM / 1 LIT OF WATER', 'RECOMMENDED TO SPRAY COPPER OXYCHLORIDE 2.5 GM / 1 LIT OF WATER']",BALANGIR,9,	Plant Protection	,back chilli die in,ODISHA
36,['SPRAY OF DIMETHOATE  30% EC 2 ML PER LITER WATER'],BANSWARA,4,	Plant Protection	,controle in me moong pest tell,RAJASTHAN
37,"['Bt COTTON VARIETY - MRC 7017, BIO SEED 6488, BIO SEED 6588, ANKUR 3028, ANKUR 3208']",ALWAR,5,Soil Testing,bt cotton me tell variety,RAJASTHAN
38,['SPRAY OF ACEPHATE 75% SP 2 GM PER LITER WATER'],ALWAR,4,	Plant Protection	,chilly control fly in me of tell white,RAJASTHAN
39,['SPRAY OF DICOFOL 1.5 ML PER LITER WATER \r\nSPRAY OF TRIZOPHOS 40% EC 2 ML PER LITER WATER'],ALWAR,9,	Plant Protection	,cilli control in insect me tell,RAJASTHAN
40,['Spray Tricyclazole(BIM)-1ml or Carbendazim(Bavistin)-1.5gm or Kasugamycin-2ml per litre of water and repeat after 8-days'],BALASORE,9,	Plant Protection	,blast control in paddy,ODISHA
41,['4-5 KG'],ALWAR,3,	Plant Protection	,me of rate seed tell tinda,RAJASTHAN
42,['Recommended for foliar application of NPK 19:19:19 water soluble fertilizer @ 100 gm/pump.'],MANDLA,7,Cultural Practices,about farmer growth how increase information know of paddy to to wants,MADHYA PRADESH
43,['SPRAY OF COPPER OXICHLORIDE 3 GM PER LITER WATER'],BANSWARA,4,	Plant Protection	,blight control in mango me tell,RAJASTHAN
44,"['VARIETY OF PUMPKIN --BAIDYBATI,GUAMALA,ARKACHANDAN,PUSABISWAS', 'VARIETY OF PUMPKIN---BAIDYBATI,GUAMAL,ARKACHANDAN,BHAIRABI', 'VARIETY OF PUMPKIN --BAIDYA BATI,GUAMALA,ARKA CHANDAN,PUSA BISWAS', 'VNR 11, VNR 14, KANCHAN, VNR P 7, VNR P 6', 'VARIETY OF PUMPKIN--BAIDYA BATI,GUAMALA,ARKACHANDAN,PUSA BISWAS', 'VARIETY OF PUMPKIN --BAIDYABAITY ,GUAMALA,ARKACHANDAN,BHAIRAVI.', 'VARIETY OF PUMPKIN--BAIDYBATI,GUAMALA,ARKACHANDAN,PUSA BISWAS,']",CUTTACK,5,Cultural Practices,of pumpkin variety,ODISHA
45,['Recommended for Spray Mancozeb 63% + Carbendazim 12% WP 40 gram and steptrocyclin 2 gram at 15 liter of water. |'],SAGAR,2,	Plant Protection	,about control farmer how in information know lentil to to want wilt,MADHYA PRADESH
46,['SPRAY SOLUBLE NPK  18:18:18 GRADE 10 GM/LTR WATER'],BANSWARA,4,Nutrient Management,management me moong nutrient tell,RAJASTHAN
47,['Recommended for Please contact your RHEO or horticulture department in your dist.'],JABALPUR,2,Government Schemes,farmar government horticulture information know schemes to want,MADHYA PRADESH
48,['Queenolfos 25 EC 1000 Ml. / hac. Rate of spray.'],SAGAR,7,	Plant Protection	,about brinjal caterpillars control crop farmer how in information know to to want,MADHYA PRADESH
49,['Recommended for Spray imidachloprid 17.8%SL 5 to 7 ml  per pump.'],JABALPUR,5,	Plant Protection	,about control crop farmer gram grren in know of pest sucking to want,MADHYA PRADESH
50,"['VARITIES OF PEA=ARKIL,HARABONA,BONVEELA']",ALWAR,9,Seeds and Planting Material,me of pea tell varities,RAJASTHAN
51,['SPRAY OF CARBENDAZIM 12% + MANCOZEB 63% WP 2 GM PER LITER WATER'],BARMER,2,	Plant Protection	,about control cumin disease in me tell,RAJASTHAN
52,['SPRAY OF MENCOZEB 2 GM PER LITER WATER'],ALWAR,1,	Plant Protection	,control funges me mustard of tell,RAJASTHAN
53,"['SPRAY OF THIOMETHOXAM 25% WG 0.5 GM  PER LITER WATER', 'SPRAY OF TRIZOPHOS 40% EC 2 ML PER LITER WATER']",ALWAR,8,	Plant Protection	,about control in insect me tell,RAJASTHAN
54,['SPRAY OF THIOUREA .5 GM/LITRE'],ALWAR,2,	Plant Protection	,growth in tellme wheat,RAJASTHAN
55,['SPRAY SOLUBLE NPK  18:18:18 GRADE 10 GM/LTR WATER'],ALWAR,6,Fertilizer Use and Availability,alwar growth in me tell,RAJASTHAN
56,['Recommended for Spray N: P: K 19:19:19 100 grams and humic acid 30 ml at 15 liter of water.'],MANDLA,3,Nutrient Management,and better coriander crop fertilizer for give growth in nutrient which,MADHYA PRADESH
57,['SPRAY  OF PROPICONAZOLE 1 ML PER LITER WATER'],ALWAR,2,	Plant Protection	,crop in me rust tell wheat yellow,RAJASTHAN
58,"['FERTILIZER IN LEMON OF 5 YRS. FYM= 20 KG, UREA= 100 GM, DAP= 100 GM, MOP= 100 GM PER PLANT']",ALWAR,9,Nursery Management,5 fertiliser for mango me plant tell year,RAJASTHAN
59,['Recommended for to control sucking pest in crop spray fipronil (Regent) @ 25 ml at 15 liter of water.'],JABALPUR,5,	Plant Protection	,about bhindi control crop farmer in information know pest sucking to want,MADHYA PRADESH
60,['SPRAY NOVALURON 1ML/1LITRE OF WATER'],BALASORE,1,	Plant Protection	,borer shoot,ODISHA
61,"['Different vegetable companies- Ankur , Rashi Akshay , Nirmal ,Mahyco , Ganga-kaveri , Indo-american ,Nujiveedu, Nunhems , Syngenta , Bayer , Coromandal , Pionear , Shriram , Prachisuper ,Nonu seed ,Bejo , Seminis ,Evergreen , Holar seeds , Norseco, Prashant  ETC.']",SAGAR,6,Cultural Practices,componies crops farmer known list of to vegetable want,MADHYA PRADESH
62,['SPRAY OF RIDOMIL MZ(METALEXYL+MENCOZEB) 2 GM PER LITER WATER'],BARMER,2,	Plant Protection	,about in isabgol me plant protection tell,RAJASTHAN
63,"['Recommended for chance of coming monsoon rain til 20 june in M.P. .', 'Recommended for chance of coming monsoon 15-18 June.', 'Recommended for chance of coming monsoon rain til 15 june in M.P. .']",JABALPUR,6,Weather,about farmer information know monsoon to wants,MADHYA PRADESH
64,['SPRAY OF ACETAMIPRID 20% SP 0.5 GM PER LITER WATER'],ALWAR,7,	Plant Protection	,about control cotton in insect me tel,RAJASTHAN
65,"['Recommended for to control sucking pest in crop spray imedachlorprid 5-7 ml at 15 liter of water.', 'Recommended for to control sucking pest Spray any one of the following insecticides in the initial stage of infestation Recommended for to control sucking pest in crop spray imedachlorprid 5-7 ml at 15 liter of water.', 'Recommended for to control sucking pest Spray any one of the following insecticides in the initial stage of infestation \r\n\xe2\x80\xa2\tdimethoate 30 EC 500 ml/ha \r\n\xe2\x80\xa2\tMethyl demotion 25 EC@ 500 ml/ha.', 'Recommended for to control sucking pest Spray any one of the following insecticides in the initial stage of infestation ,\r\n\xe2\x80\xa2we recommended spraying dimethoate 30 EC 30 ml/pump\r\n\xe2\x80\xa2we recommended spraying methyl demeton 25 EC@ 30 ml/pump.', 'Recommended for to control sucking pest in soybean crop spray acitamiprid 10gm at 15 liter of water.', 'Recommended for to control sucking pest  Spray any one of the following insecticides in the initial stage of infestation \r\ndimethoate 30 EC 500 ml/ha \r\nmethyl demeton 25 EC@ 500 ml/ha.\r\nFipronil 5% 30 ml per pump\t\r\nRecommended for to control sucking pest in crop spray imedachlorprid 5-7 ml at 15 liter of water.', 'recommended -dimethoate 30 EC 500 ml/ha .', 'Recommended for to control of fungal attack use copper oxy chloride 40 gram and streptocyclin 2 gram at 15 liter of water']",DAMOH,5,	Plant Protection	,about chilli control crop farmer how in information know pest sucking to to wants,MADHYA PRADESH
66,['MAINTAIN MALE : FEMALE @ 1:9 FOR PROPER FRUIT SETTING IN POINTED GOURD'],CUTTACK,4,Cultural Practices,for fruit gourd in pointed proper setting,ODISHA
67,"['priya,rigal,strike,indam early-varieties of cucumber']",CUTTACK,6,Fertilizer Use and Availability,cucumber of varieties,ODISHA
68,"['?\tSpray imidacloprid 17.8 SL (Admire, confidor 200 SC, 250 ml per hectare) 5-7 ml at 15 liter of water.']",SAGAR,3,	Plant Protection	,control crop farmer how in information needs onoin pest regarding sucking to,MADHYA PRADESH
69,['CONTECT FOR 0141-5116242'],AJMER,4,Fertilizer Use and Availability,knowledge me oranic registration related tell,RAJASTHAN
70,['RECOMMENDED TO SPRAY SPINOSAD 1ML/3 LIT WATER FOR CONTROL OF FRUIT BORER IN BITTERGOURD'],BALASORE,4,	Plant Protection	,bittergourd borer fruit in,ODISHA
71,"['JODHPUR MANDI RATE OF   JEERA (CUMIN) 15950  RS/QUNTAL', 'JODHPUR (GRAIN)MANDI RATE OF JEERA (CUMIN) 16110 RS./QT.', 'JODHPUR (GRAIN)MANDI RATE OF JEERA (CUMIN) 13750 RS./QT.']",BARMER,3,Market Information,about jeera mandi me of rate tell,RAJASTHAN
72,['USE OF CARBNANDAZIM 250 GM/BIGHA WITH IRIGARTION'],BARMER,1,	Plant Protection	,black control ion me rot tell,RAJASTHAN
73,['SPRAY OF ACEPHATE 75% SP 2 GM PER LITER WATER + MENCOJEB 2GM PAR LITAR WATER'],ALWAR,8,	Plant Protection	,about blight control in karonda me tell,RAJASTHAN
74,"['14mm on 10th Sept,light rainfall for other days of week']",BALANGIR,9,Weather,balangir for khaprakhol rainfall,ODISHA
75,['SPRAY OF THIOMETHOXAM 25% WG 0.5 GM  PER LITER WATER'],ALWAR,8,	Plant Protection	,control in insect me of tell,RAJASTHAN
76,['SPRAY OF MULTIPLAX (MICRONUTRIENT) 4 ML PER LITER WATER'],ALWAR,3,Nutrient Management,in management me micro nutrient papaya tell,RAJASTHAN
77,['SPRAY OF PLANOFIX 1 ML PER 4 LITER WATER'],ALWAR,8,Nutrient Management,control cotton droping flower in me of tell,RAJASTHAN
78,"['FYM-20 KF,UREA-100 GM,SSP-250 GM/PLANT']",AJMER,3,Fertilizer Use and Availability,anar fertilize in me tell,RAJASTHAN
79,['RECOMMENDED TO SPRAY CHLOROPYRIPHOUS 2ML/ LIT WATER FOR CONTROL OF LEAF EATING CATER PILLAR IN GROUNDNUT'],BALASORE,5,	Plant Protection	,cater eating groundnut in leaf pillar,ODISHA
80,"['Recommended to control of fungal attack use Copper Oxychloride(BLITOX ,BLUECOPPER) 50% WP. @40 gram and streptocyclin 2 gram at 15 liter of water.']",JABALPUR,9,	Plant Protection	,about attack bittergourd control crop farmer fungal how information know of of to to want,MADHYA PRADESH
81,"['MAINTAIN FEMALE :MALE ROOT RATIO @ 9:1 FOR FRUIT DROP IN POINTED GOURD', 'Spray Fantac Plus @ 1 Ml/ 2 Lit of Water', 'MAINTAIN FEMALE : MALE @ 9:1 RATION FOR FRUIT DROP IN POINTED GOURD', 'MAINTED MALE : FEMALE RATIO @ 1:9 FOR FRUIT DROP IN POINTED GOURD']",DHENKANAL,5,Cultural Practices,drop fruit gourd in pointed,ODISHA
82,['Novaluron 10 % EC @7.5 ml/10 litre of water to control fruit borer in tomato.'],SAGAR,8,	Field Preparation	,about borer brinjal control crop farmer fruit how in know to to want,MADHYA PRADESH
83,['RECOMMENDED TO SPRAY TATAMIDA 1ML/ 3 LIT WATER FOR CONTROL OF SUCKING PEST IN MANGO'],BALANGIR,5,	Plant Protection	,in mango pest sucking,ODISHA
84,['RECOMMENDED TO SPRAY RIDOMIL GOLD @ 2.5 GRAM / 1 LIT OF WATER'],CUTTACK,5,	Plant Protection	,brinjal in leaves of yellowing,ODISHA
85,['SPRAY OF DIMETHOATE  30% EC 2 ML PER LITER WATER'],ALWAR,5,	Plant Protection	,control fruit in jack me of sucking tell,RAJASTHAN
86,['To know information about agriculture please contact to your department of agriculture or please contact rural agriculture extension officer ...'],DAMOH,7,Cultural Practices,about agriculture farmer information informfation know to wants,MADHYA PRADESH
87,['FARVARI MARCH SOWING TIME'],ALWAR,2,	Plant Protection	,anola me of sowing tell time,RAJASTHAN
88,['Recommended for spray  Mencozeb + Carbindazim (Saaf or  sixer)@ 30 g /pump .'],DAMOH,1,	Plant Protection	,control crop farmer fungal how in infection know to to want wheat,MADHYA PRADESH
89,['recommended for to control shoot borer in soyabean crop spray cartap hydrochloride 50% sp @300-400gm/acer'],SAGAR,8,	Plant Protection	,about borer control crop farmer how in information know soyabean to to want,MADHYA PRADESH
90,['keltica plant tonic 3 ml/ 16 litre of water'],DAMOH,2,	Plant Protection	,about capsicum crop farmer information know of plant to tonic want,MADHYA PRADESH
91,['JODHPUR MANDI ME  MOTH KE BHAV = 3352 RS./QUT.'],BARMER,4,Market Information,information market me moth of tell,RAJASTHAN
92,['SPRAY OF COPPER OXICHLORIDE 3 GM PER LITER WATER'],ALWAR,9,	Plant Protection	,control disease me of orange tell,RAJASTHAN
93,['Spray corajan Chlorantraniliprole 18.5% SC 4-5 ml at 15 liter of water.'],SAGAR,6,	Plant Protection	,about caterpillars cauliflower control crop farmer how in information know to to wants,MADHYA PRADESH
94,['Recommended for Spray Use indoxa carb 14.5 % SC @ 10 ml at 15 liter of water.'],DAMOH,7,	Plant Protection	,about bore brinjal control crop farmer fruit how in information know to to want,MADHYA PRADESH
95,['SPRAY OF INDOXACARB 14.5% SC 1 ML PER LITER WATER'],AJMER,9,	Plant Protection	,borer control me moong of pod tell,RAJASTHAN
96,['Recommended for N: P: K 0:52:34 1 kg at per Acer'],JABALPUR,1,Fertilizer Use and Availability,and bengal crop gram how in increase production size to,MADHYA PRADESH
97,['BARMER MANDI \tTIL  BHAV \t5600/RS.QU'],BARMER,1,Market Information,in information market me tell til,RAJASTHAN
98,['Please use organic mannure and insecticide on your field.'],SAGAR,9,Organic Farming,farmer farming for information needs organic,MADHYA PRADESH
99,['SPRAY OF PLANOFIX 1 ML PER 4 LITER WATER'],ALWAR,6,	Plant Protection	,fruit in jamun me no tell,RAJASTHAN
100,['indoxa carb 10 ml at 15 liter of water.'],SAGAR,8,	Plant Protection	,aphid control crop how in moong to,MADHYA PRADESH
101,['FERTILIZER DOSE FOR DRUMSTICK - APPLY UREA 250 GRAM + S.S.P.- 1 KILO + MICRONUTRIENTS - 250 GRAM + NEEM CAKE - 150 GRAM / PLANT .'],RAIGARH,5,Nutrient Management,about asked dose drumstick fertilizer for,MAHARASHTRA
102,['DRENCHING OF CARBENDAZIM 2 GM PER LITER'],ALWAR,7,	Plant Protection	,carbendazim in mango me of tell use,RAJASTHAN
103,"[""Dear in your's khurai mandi the rate of lentil crop is 3050 Rs. minimum/quintal 3230 Rs. maximum/quintal 3100 Rs. average/quintal.""]",SAGAR,6,Market Information,about at farmer khurai know lentil madhya mandi of of pradesh rate to wants,MADHYA PRADESH
104,['SPRAY PYMETROZINE (CHESS) @ 6ML/15LIT WATER FOR THRIPS IN CHILLI'],BALANGIR,6,	Plant Protection	,chilli in thrips,ODISHA
105,"['?\tSpray imidacloprid 17.8 SL (Admire, confidor 200 SC, 250 ml per hectare) 5-7 ml at 15 liter of water.']",JABALPUR,2,	Plant Protection	,control crop farmer how in information jabalpur needs pest regarding sucking to,MADHYA PRADESH
106,['CONTACT NUMBER FOR MASRUM TRANING  KVK GANGANAGAR = 0154-2440532'],ALWAR,4,Government Schemes,about info me mushroom tell,RAJASTHAN
107,['Recommended for Spray Use imidaclorprid 17.8%SL @5 to 6 ml per pump.'],SAGAR,7,	Plant Protection	,about aphids control crop farmer how in information know to to urd want,MADHYA PRADESH
108,"[""Dear in your's Javera mandi the rate of Black gram crop is 3700 Rs. minimum/quintal 5400 Rs. maximum/quintal 5400 Rs. average/quintal.""]",DAMOH,8,Market Information,about at black farmer gram javera know madhya mandi of of pradesh rate to wants,MADHYA PRADESH
109,['Recommended for spray ( confidor) 17.8 % SL  @10-12 ml ./pump.+ Chlorpyriphos 20% ec @ 25-30 ml/pump.'],SAGAR,2,	Plant Protection	,cauliflower control crop farmer how know of pest sucking to to want,MADHYA PRADESH
110,['JODHPUR (GRAIN)  METHI 2305 RS/Q.'],BARMER,6,Market Information,mandi me methi of rate tell,RAJASTHAN
111,"['Varieties \r\nAllahabad, Lucknow 46, 49, Arka Amulya, Arka Mridula, Banaras, Baptla, Arka Kiran, Lalit and TRY (G)-1 are the suitable varieties for cultivation.', 'Allahabad, Lucknow 46, 49, Arka Amulya, Arka Mridula, Banaras, Baptla, Arka Kiran, Lalit and TRY (G)-1 are the suitable varieties for cultivation.']",BARMER,6,Seeds and Planting Material,about guava me of tell variety,RAJASTHAN
112,['CONTACT TO NEAREST BANK BRANCH'],ALWAR,9,Credit,about animal me of subsidy tell,RAJASTHAN
113,['RECOMMENDED TO SPRAY COPPER OXICHLORIDE 2GM + PLANTOMYCIN 1.5 GM/ LIT WATER FOR CONTROL OF BACTERIAL LEAF BLIGHT IN GREEN GRAM'],BALANGIR,2,	Plant Protection	,bacterial blight gram green in leaf,ODISHA
114,['USE IMIDACHLOPRID 17.8% SL 1 LITER PER HA WITH IRRIGATION FOR CONTROL OF TERMITE'],ALWAR,6,Cultural Practices,control me remite tell,RAJASTHAN
115,"['recommended for to control of fungal attack spray  carbandazim + mancozeb 40gm.and streptocyclin 2 gram at 15 liter of water', 'Recommended for Use copper oxy chloride 45 gram and steptrocyclin 2 gram at 15 liter of water...']",JABALPUR,3,	Plant Protection	,attack control crop farmer fungal in information measures need of pumpkin regarding,MADHYA PRADESH
116,['JULY-AUGUST MONTH.'],BARMER,5,Seeds and Planting Material,khajur me planting tell time,RAJASTHAN
117,"['Recommended for Spray imidaclorprid 17.8%SL 5 to 6 ml per pump.', 'recommend for spray to Imidacloprid 17.8 % SL 5-7 ML/PUMP']",SAGAR,3,	Plant Protection	,control coriander crop how in pest sucking to,MADHYA PRADESH
118,['Dear farmer mandi rate facility has been temperary suspended for some time.'],DAMOH,4,Market Information,about facility farmer his in know mandi mobile rate to want,MADHYA PRADESH
119,['SPRAY ZINK SALPHET 33% 5 GM+BUJHA CHUNA 2.5 GM/LITER WATER'],AJMER,1,Fertilizer Use and Availability,colour control crop in leaf me tell wheat yellow,RAJASTHAN
120,"['Prior to flooding of urad, treat the seeds with 3 grams of thymium or 2.5 gm of Diethen M-45 per kg seed.', 'Treat the Udda seed in the form of 3 grams of Thayaram or 2.5 g of Dheathane M-45 per kg seed before the seed of Budai.', 'Former Bubai Thayrm urad seeds 3 grams or 2.5 grams per kg seed Daythen M-45 to the value of the treated.']",DAMOH,3,Cultural Practices,about black farmer gram know of seed to treatment want,MADHYA PRADESH
121,"['Recommended for sagar mandi rate of lentil crop rupees 3840 per quintal on may 2017.', 'Madhya Pradesh\tJavera\tPulses\tLentil(Masur)\tOther\tFAQ\t3400\t3600\t3500\t02 May 2017', 'Madhya Pradesh \tGarhakota \tPulses \tLentil(Masur) \tOther \tFAQ \t3415 \t3771 \t3768 \t01 May 2017']",SAGAR,5,Market Information,about crop farmer information know lentil mandi of rate to wants,MADHYA PRADESH
122,['Spray methyl demeton 2ml (or) phosalone 2ml / lit (or) neem oil 3%'],DAMOH,9,	Plant Protection	,control how in know marigold thrips to to want,MADHYA PRADESH
123,['Spraying after 15 days of frozen herbicide quzelofop ethyl 400 ml / acre of berry in 20 days.'],SAGAR,7,Weed Management,black crop farmer gram in information management need regarding weed,MADHYA PRADESH
124,"['Barwani under varieties of papaya, red, yellow, Washington, Mdhubindu, Honeydew, Honeydew Coorg,, 1, CO 3, Pusa teeny, Pusa Delicious, c. O-7 Pusa Majesty, Surya, Taiwan 876 ETC.']",SAGAR,4,Seeds and Planting Material,about farmer information know of papaya to varieties want,MADHYA PRADESH
125,['USE IMIDACHLOPRID 17.8% SL 1 LITER PER HA WITH IRRIGATION FOR CONTROL OF TERMITE'],BANSWARA,4,Weather,control guar in me tell termait,RAJASTHAN
126,['SPACING : 45 x 30 CM'],CUTTACK,1,Cultural Practices,cultural in okra practice,ODISHA
127,['SPRAY OF BOREX 4 GM PER LITER WATER'],ALWAR,2,Fertilizer Use and Availability,bail control craking fruit in me tell,RAJASTHAN
128,['Production and storage capacity - pea seeds Sukhakr good way when 8-10 percent moisture remains in it. Then the seeds stored at a safe location. 1 to 2 years deposits of pea seeds used for sowing can be easily accessible.'],JABALPUR,2,Seeds and Planting Material,content farmer how in know moisture pea seed to to want,MADHYA PRADESH
