,answers,changed-questions,district,month,query-type,state
49,['SPRAY SOLUBLE NPK  18:18:18 GRADE 10 GM/LTR WATER'],management moong nutrient tell,BARMER,9,Nutrient Management,RAJASTHAN
50,['Recommended for Please contact your RHEO or horticulture department in your dist.'],farmar government horticulture information know schemes want,JABALPUR,2,Government Schemes,MADHYA PRADESH
51,"['Spray emamectin benjoate  8- 10 gram or corajan, fem 4-5 ml at 15 liter of water or indoxa carb 12-15 ml at 15 liter of water.', 'Queenolfos 25 EC 1000 Ml. / hac. Rate of spray.', 'control for catterpiller in brinjal  crop spray of Troijofos 40 EC (??-40ml /pump ) 1000 Ml. / hac.']",brinjal caterpillars control crop farmer information know want,SAGAR,9,	Plant Protection	,MADHYA PRADESH
52,['Recommended for Spray imidachloprid 17.8%SL 5 to 7 ml  per pump.'],control crop farmer gram grren know pest sucking want,JABALPUR,5,	Plant Protection	,MADHYA PRADESH
53,"['VARITIES OF PEA=ARKIL,HARABONA,BONVEELA']",pea tell varities,ALWAR,9,Seeds and Planting Material,RAJASTHAN
54,"['DRENCHING OF CARBENDAZIM 1 KG PER HA IN ROOT ZONE WITH IRRIGATION', 'USE TRICHODERMA 2.5 KG PER 100 KG FYM', 'USE HEXACONAZOLE 5% EC 1 LITER PER HA WITH IRRIGATION', 'SPRAY OF RIDOMIL MZ(METALEXYL+MENCOZEB) 2 GM PER LITER WATER', 'SPRAY OF DIFENACONAZOLE 0.5 ML PER LITER WATER', 'SPRAY OF MENCOZEB 2 GM PER LITER WATER', 'SPRAY OF CARBENDAZIM 12% + MANCOZEB 63% WP 2 GM PER LITER WATER']",control cumin disease tell,BARMER,1,	Plant Protection	,RAJASTHAN
55,['SPRAY OF MENCOZEB 2 GM PER LITER WATER'],control funges mustard tell,ALWAR,1,	Plant Protection	,RAJASTHAN
56,"['SPRAY OF TRIZOPHOS 40% EC 2 ML PER LITER WATER', 'SPRAY OF THIOMETHOXAM 25% WG 0.5 GM  PER LITER WATER']",control insect tell,ALWAR,8,	Plant Protection	,RAJASTHAN
57,['SPRAY OF THIOUREA .5 GM/LITRE'],growth tellme wheat,ALWAR,2,	Plant Protection	,RAJASTHAN
58,['SPRAY SOLUBLE NPK  18:18:18 GRADE 10 GM/LTR WATER'],alwar growth tell,ALWAR,6,Fertilizer Use and Availability,RAJASTHAN
59,['Recommended for Spray N: P: K 19:19:19 100 grams and humic acid 30 ml at 15 liter of water.'],better coriander crop fertilizer give growth nutrient,MANDLA,3,Nutrient Management,MADHYA PRADESH
60,['SPRAY  OF PROPICONAZOLE 1 ML PER LITER WATER'],crop rust tell wheat yellowing,ALWAR,2,	Plant Protection	,RAJASTHAN
61,"['FERTILIZER IN LEMON OF 5 YRS. FYM= 20 KG, UREA= 100 GM, DAP= 100 GM, MOP= 100 GM PER PLANT']",5 fertilizer mango plant tell yr,ALWAR,9,Nursery Management,RAJASTHAN
62,['Recommended for to control sucking pest in crop spray fipronil (Regent) @ 25 ml at 15 liter of water.'],bhindi control crop farmer information know pest sucking want,JABALPUR,5,	Plant Protection	,MADHYA PRADESH
63,['SPRAY NOVALURON 1ML/1LITRE OF WATER'],borer shoot,BALASORE,1,	Plant Protection	,ODISHA
64,"['Different vegetable companies- Ankur , Rashi Akshay , Nirmal ,Mahyco , Ganga-kaveri , Indo-american ,Nujiveedu, Nunhems , Syngenta , Bayer , Coromandal , Pionear , Shriram , Prachisuper ,Nonu seed ,Bejo , Seminis ,Evergreen , Holar seeds , Norseco, Prashant  ETC.']",componies crops farmer known list vegetable want,SAGAR,6,Cultural Practices,MADHYA PRADESH
65,['SPRAY OF RIDOMIL MZ(METALEXYL+MENCOZEB) 2 GM PER LITER WATER'],isabgol plant protection tell,BARMER,2,	Plant Protection	,RAJASTHAN
66,"['Recommended for chance of coming monsoon rain til 20 june in M.P. .', 'Recommended for chance of coming monsoon after 22 June', 'Recommended for chance of coming monsoon rain til 13 june in M.P. .', 'Recommended for chance of coming monsoon rain til 15 june in M.P. .', 'Recommended for chance of coming monsoon 15-18 June.', 'Recommended for chance of coming monsoon 15-18 June', 'Recommended for chance of coming monsoon after 15 of June']",farmer information know monsoon wants,SAGAR,6,Weather,MADHYA PRADESH
67,['SPRAY OF ATRAZINE 2.5 GM PER LITER WATER AFTER SOWING BUT BEFORE GERMINATION'],control milliet dropping tell weed,BARMER,7,Weed Management,RAJASTHAN
68,['SPRAY OF ACETAMIPRID 20% SP 0.5 GM PER LITER WATER'],control cotton insect tel,ALWAR,7,	Plant Protection	,RAJASTHAN
69,['2 GRAM KARBANDAZIM POWDER'],collor groundnut rot tell,BARMER,8,Weather,RAJASTHAN
70,"['Recommended for to control sucking pest Spray any one of the following insecticides in the initial stage of infestation Recommended for to control sucking pest in crop spray imedachlorprid 5-7 ml at 15 liter of water.', 'Recommended for to control sucking pest in crop spray imedachlorprid 5-7 ml at 15 liter of water.', 'Recommended for to control sucking pest Spray any one of the following insecticides in the initial stage of infestation ,\r\n\xe2\x80\xa2we recommended spraying dimethoate 30 EC 30 ml/pump\r\n\xe2\x80\xa2we recommended spraying methyl demeton 25 EC@ 30 ml/pump.', 'Recommended for to control sucking pest in soybean crop spray acitamiprid 10gm at 15 liter of water.', 'Recommended for to control sucking pest Spray any one of the following insecticides in the initial stage of infestation \r\n\xe2\x80\xa2\tdimethoate 30 EC 500 ml/ha \r\n\xe2\x80\xa2\tMethyl demotion 25 EC@ 500 ml/ha.', 'Recommended for to control sucking pest  Spray any one of the following insecticides in the initial stage of infestation \r\ndimethoate 30 EC 500 ml/ha \r\nmethyl demeton 25 EC@ 500 ml/ha.\r\nFipronil 5% 30 ml per pump\t\r\nRecommended for to control sucking pest in crop spray imedachlorprid 5-7 ml at 15 liter of water.', 'recommended -dimethoate 30 EC 500 ml/ha .', 'Recommended for to control of fungal attack use copper oxy chloride 40 gram and streptocyclin 2 gram at 15 liter of water']",chilli control crop farmer information know pest sucking wants,SAGAR,8,Weather,MADHYA PRADESH
71,['MAINTAIN MALE : FEMALE @ 1:9 FOR PROPER FRUIT SETTING IN POINTED GOURD'],fruit gourd pointed proper setting,CUTTACK,4,Cultural Practices,ODISHA
72,"['priya,rigal,strike,indam early-varieties of cucumber']",cucumber varieties,CUTTACK,6,Fertilizer Use and Availability,ODISHA
73,"['?\tSpray imidacloprid 17.8 SL (Admire, confidor 200 SC, 250 ml per hectare) 5-7 ml at 15 liter of water.']",control crop farmer information needs onoin pest regarding sucking,SAGAR,3,	Plant Protection	,MADHYA PRADESH
74,['CONTECT FOR 0141-5116242'],knowledge oranic registration related tell,AJMER,4,Fertilizer Use and Availability,RAJASTHAN
75,['RECOMMENDED TO SPRAY SPINOSAD 1ML/3 LIT WATER FOR CONTROL OF FRUIT BORER IN BITTERGOURD'],bittergourd borer fruit,BALASORE,4,	Plant Protection	,ODISHA
76,"['NAGAUR MANDI RATE OF JEERA (CUMIN) 18100 RS./QT.', 'JODHPUR (GRAIN)MANDI RATE OF JEERA (CUMIN) 16110 RS./QT.', 'JODHPUR (GRAIN)MANDI RATE OF JEERA (CUMIN) 13750 RS./QT.', 'JODHPUR MANDI RATE OF   JEERA (CUMIN) 15950  RS/QUNTAL']",jeera mandi rate tell,BARMER,8,Market Information,RAJASTHAN
77,['USE OF CARBNANDAZIM 250 GM/BIGHA WITH IRIGARTION'],black control ion rot tell,BARMER,1,	Plant Protection	,RAJASTHAN
78,['SPRAY OF ACEPHATE 75% SP 2 GM PER LITER WATER + MENCOJEB 2GM PAR LITAR WATER'],blight control karonda tell,ALWAR,8,	Plant Protection	,RAJASTHAN
79,"['14mm on 10th Sept,light rainfall for other days of week']",balangir khaprakhol rainfall,BALANGIR,9,Weather,ODISHA
80,['SPRAY OF THIOMETHOXAM 25% WG 0.5 GM  PER LITER WATER'],control insect tell,ALWAR,8,	Plant Protection	,RAJASTHAN
81,['SPRAY OF MULTIPLAX (MICRONUTRIENT) 4 ML PER LITER WATER'],management micro nutrient papaya tell,ALWAR,3,Nutrient Management,RAJASTHAN
82,['SPRAY OF PLANOFIX 1 ML PER 4 LITER WATER'],control cotton droping flower tell,AJMER,8,Nutrient Management,RAJASTHAN
83,"['FYM-20 KF,UREA-100 GM,SSP-250 GM/PLANT']",anar fertilize tell,AJMER,3,Fertilizer Use and Availability,RAJASTHAN
84,['RECOMMENDED TO SPRAY CHLOROPYRIPHOUS 2ML/ LIT WATER FOR CONTROL OF LEAF EATING CATER PILLAR IN GROUNDNUT'],cater eating groundnut leaf pillar,BALANGIR,7,	Plant Protection	,ODISHA
85,"['Recommended to control of fungal attack use Copper Oxychloride(BLITOX ,BLUECOPPER) 50% WP. @40 gram and streptocyclin 2 gram at 15 liter of water.']",attack bittergourd control crop farmer fungal information know want,JABALPUR,9,	Plant Protection	,MADHYA PRADESH
86,"['MAINTAIN FEMALE : MALE @ 9:1 RATION FOR FRUIT DROP IN POINTED GOURD', 'Spray Fantac Plus @ 1 Ml/ 2 Lit of Water', 'MAINTED MALE : FEMALE RATIO @ 1:9 FOR FRUIT DROP IN POINTED GOURD', 'MAINTAIN FEMALE :MALE ROOT RATIO @ 9:1 FOR FRUIT DROP IN POINTED GOURD']",droping fruit gourd pointed,CUTTACK,3,Cultural Practices,ODISHA
87,['Novaluron 10 % EC @7.5 ml/10 litre of water to control fruit borer in tomato.'],borer brinjal control crop farmer fruit know want,SAGAR,8,	Field Preparation	,MADHYA PRADESH
88,['RECOMMENDED TO SPRAY TATAMIDA 1ML/ 3 LIT WATER FOR CONTROL OF SUCKING PEST IN MANGO'],mango pest sucking,BALANGIR,5,	Plant Protection	,ODISHA
89,['RECOMMENDED TO SPRAY RIDOMIL GOLD @ 2.5 GRAM / 1 LIT OF WATER'],brinjal leaves yellowing,CUTTACK,5,	Plant Protection	,ODISHA
90,['NO RAINFALL NEXT FIVE DAYS'],information tell weaterh,BARMER,8,Weather,RAJASTHAN
91,['SPRAY OF DIMETHOATE  30% EC 2 ML PER LITER WATER'],control fruit jack sucking tell,ALWAR,5,	Plant Protection	,RAJASTHAN
92,['To know information about agriculture please contact to your department of agriculture or please contact rural agriculture extension officer ...'],agriculture farmer information informfation know wants,DAMOH,7,Cultural Practices,MADHYA PRADESH
93,['FARVARI MARCH SOWING TIME'],anola sowing tell time,ALWAR,2,	Plant Protection	,RAJASTHAN
94,['Recommended for spray  Mencozeb + Carbindazim (Saaf or  sixer)@ 30 g /pump .'],control crop farmer fungal infection know want wheat,DAMOH,1,	Plant Protection	,MADHYA PRADESH
95,['recommended for to control shoot borer in soyabean crop spray cartap hydrochloride 50% sp @300-400gm/acer'],borer control crop farmer information know soyabean want,SAGAR,8,	Plant Protection	,MADHYA PRADESH
96,['keltica plant tonic 3 ml/ 16 litre of water'],capsicum crop farmer information know plant tonic want,DAMOH,2,	Plant Protection	,MADHYA PRADESH
97,['18001030061'],beema fasal tell yozna,BARMER,7,	Plant Protection	,RAJASTHAN
98,['JODHPUR MANDI ME  MOTH KE BHAV = 3352 RS./QUT.'],information market moth tell,BARMER,4,Market Information,RAJASTHAN
99,['SPRAY OF COPPER OXICHLORIDE 3 GM PER LITER WATER'],control disease orange tell,ALWAR,9,	Plant Protection	,RAJASTHAN
100,['Spray corajan Chlorantraniliprole 18.5% SC 4-5 ml at 15 liter of water.'],caterpillars cauliflower control crop farmer information know wants,SAGAR,6,	Plant Protection	,MADHYA PRADESH
101,['Recommended for Spray Use indoxa carb 14.5 % SC @ 10 ml at 15 liter of water.'],bore brinjal control crop farmer fruit information know want,DAMOH,7,	Plant Protection	,MADHYA PRADESH
102,['SPRAY OF INDOXACARB 14.5% SC 1 ML PER LITER WATER'],borer control moong pod tell,AJMER,9,	Plant Protection	,RAJASTHAN
103,['Recommended for N: P: K 0:52:34 1 kg at per Acer'],bengal crop gram increase production size,JABALPUR,1,Fertilizer Use and Availability,MADHYA PRADESH
104,['BARMER MANDI \tTIL  BHAV \t5600/RS.QU'],information market tell til,BARMER,1,Market Information,RAJASTHAN
105,"['Please use organic mannure and insecticide on your field.', 'Bramhastra-  10 liter cow urin, 3 kg neem leaf, 2 kg pongamia leaf, 2 kg  custard apple leaf, 2 kg bel leaf, 2 kg castor leaf and 2 kg dhatura leaf\r\nRecipes:- none of these five ingredients to mix all the ingredients in urine boiled in a clay pot put on the fire when approaching the four-boiled 48 hours in shade to cool off from the fire. Then cloth to filter storage.\r\nDuration of use: Use -bramhastra six months now.\r\nNote: Please storage in a clay pot. Urine do not keep metal utensils.\r\nSpraying: One acre 3 to 4 liters to 100 liters of water mixed spraying Brahmastra.', 'Please use \r\norganic mannure and insecticide on your field.']",farmer farming information needs organic,JABALPUR,7,Organic Farming,MADHYA PRADESH
106,['SPRAY OF PLANOFIX 1 ML PER 4 LITER WATER'],fruit jamun tell,ALWAR,6,	Plant Protection	,RAJASTHAN
107,"['FYM-25 KG,SSP-300,UREA-100 GM,MICRINUTRIENT 100 GM,QUINALPHOS 100 GM/LITRE']",growth lwemon tell,BARMER,9,Fertilizer Use and Availability,RAJASTHAN
108,['indoxa carb 10 ml at 15 liter of water.'],aphid control crop moong,SAGAR,8,	Plant Protection	,MADHYA PRADESH
109,['FERTILIZER DOSE FOR DRUMSTICK - APPLY UREA 250 GRAM + S.S.P.- 1 KILO + MICRONUTRIENTS - 250 GRAM + NEEM CAKE - 150 GRAM / PLANT .'],asked dose drumstick fertilizer,RAIGARH,5,Nutrient Management,MAHARASHTRA
110,['SPRAY OF COPPER OXICHLORIDE 45 GM + STREPTOCYCLIN 2 GM PER 15 LITER WATER'],bacterial blight control cummin disease tell,BARMER,1,	Plant Protection	,RAJASTHAN
111,['DRENCHING OF CARBENDAZIM 2 GM PER LITER'],carbendazim mango tell use,ALWAR,7,	Plant Protection	,RAJASTHAN
112,"[""Dear in your's khurai mandi the rate of lentil crop is 3050 Rs. minimum/quintal 3230 Rs. maximum/quintal 3100 Rs. average/quintal.""]",farmer khurai know lentil madhya mandi pradesh rate wants,SAGAR,6,Market Information,MADHYA PRADESH
113,"['SPRAY IMIDACLORPRID @ 6ML/15LIT WATER FOR THRIPS IN CHILLI', 'SPRAY PYMETROZINE (CHESS) @ 6ML/15LIT WATER FOR THRIPS IN CHILLI']",chilli thrips,BALASORE,3,	Plant Protection	,ODISHA
114,"['?\tSpray imidacloprid 17.8 SL (Admire, confidor 200 SC, 250 ml per hectare) 5-7 ml at 15 liter of water.']",control crop farmer information jabalpur needs pest regarding sucking,JABALPUR,2,	Plant Protection	,MADHYA PRADESH
115,"['SPRAY OF ACEPHATE 75% SP 2 GM PER LITER WATER', 'DUSTING OF METHYL PARATHIAN 2% 25 KG PER HA']",control cut mustard tell worm,BANSWARA,7,	Plant Protection	,RAJASTHAN
116,['CONTACT NUMBER FOR MASRUM TRANING  KVK GANGANAGAR = 0154-2440532'],information mushroom tell,ALWAR,4,Government Schemes,RAJASTHAN
117,['RAIN RAINFALL POSSIBILITY IN 5 DAYS IN YOUR DISTRICT'],barmer report tell wather,BARMER,8,Weather,RAJASTHAN
118,"['Recommended for Spray Use imidaclorprid 17.8%SL @5 to 6 ml per pump.', 'Recommended for Spray Use dimethoate 30 EC 30 ML PER PUMP']",aphids control crop farmer information know urd want,SAGAR,7,	Plant Protection	,MADHYA PRADESH
119,"[""Dear in your's Javera mandi the rate of Black gram crop is 3700 Rs. minimum/quintal 5400 Rs. maximum/quintal 5400 Rs. average/quintal.""]",black farmer gram javera know madhya mandi pradesh rate wants,DAMOH,8,Market Information,MADHYA PRADESH
120,['DRENCHING OF CARBENDAZIM 2 GM PER LITER'],root rot tell,BARMER,7,	Plant Protection	,RAJASTHAN
121,['Recommended for spray ( confidor) 17.8 % SL  @10-12 ml ./pump.+ Chlorpyriphos 20% ec @ 25-30 ml/pump.'],cauliflower control crop farmer know pest sucking want,SAGAR,2,	Plant Protection	,MADHYA PRADESH
