,QueryText,KCCAns
9,sacking about weather forest,THIS WEEK WEATHER IS CLOUDY NO RAINFALL CHANCES DURING THIS WEEK
111,sacking about weather forest,Today's Weather Partly Cloudy and Possibility of Rainfall.
125,sacking about weather forest,This week weather is cloudy and light to medium possibility of Rainfall.
135,sacking about weather forest,"This week Cloudy Weather,Light Rainfall Chances ."
8,sacking about weather forest,IN THIS WEEK CLOUDY WEATHER NO  CHANCES  OF RAINFALL.
122,sacking about weather forest,Cloudy weather and rainfall chances.
133,sacking about weather forest,This week weather is CLOUDY and  of  Possibility LIGHT Rainfall
3,sacking about weather forest,This week weather is Partly cloudy and no Possibility of Rainfall.
97,sacking about weather forest,THIS WEEK WEATHER IS CLOUDY LIGHT RAINFALL CHANCES
29,sacking about weather forest,"THIS WEEK WEATHER,POSSIBILITY OF  NO RAINFALL"
94,sacking about weather forest,This week cloudy weather rainfall chances .
34,sacking about weather forest,"Partly Cloudy, No Possible of Rain."
35,sacking about weather forest,MOSTLY CLEAR WEATHER NO CHANCES OF RAINFALL
36,sacking about weather forest,"Clear Weather , No Possibility of Rain."
37,sacking about weather forest,"Partly cloudy, No Possibility of Rain."
26,sacking about weather forest,Cloudy Weather  Rainfall Chances Today.
43,sacking about weather forest,Today Weather Is Cloudy & No Possibility of Rainfall.
44,sacking about weather forest,TODAY IS CLEAN WEATHER NO POSSIBILITY OF RAIN.
51,sacking about weather forest,This week weather is mostly clear and NO Possibility of Rainfall
23,sacking about weather forest,Cloudy Weather not Possibility of Rainfall.
63,sacking about weather forest,THIS WEEK WEATHER IS CLOUDY AND NO RAINFALL CHANCES DURING THIS WEEKTEMP -MIN.-27 DEGREE AND MAX.- 40
64,sacking about weather forest,This Week Weather Is Cloudy No Rainfall Chances.
96,sacking about weather forest,This week weather is CLOUDY and LIGHT Possibility of Rainfall
139,sacking about weather forest,In this week Cloudy weather and rainfall chances.
14,sacking about weather forest,"TodayPartly cloudy, No Possibility of Rain"
92,sacking about weather forest,This week weather is Partly cloudy and Possibility of medium Rainfall.
89,sacking about weather forest,"cloudy weather, possibility of rain in upcoming week"
88,sacking about weather forest,"This week weather is Partly cloudy and no Possibility of Rainfall.
Clear +29°
 4 m/s
Clear
Precip chance: 2%
Humidity: 51%"
87,sacking about weather forest,"In This Week Weather is Partly Cloudy, No Possibility of Rain."
22,sacking about weather forest,"Today's Weather is clear, No Possibility of Rain."
80,sacking about weather forest,"Partly cloudy,  no Possibility of RAINFALL CHANCES"
84,sacking about weather forest,"Today is clear and sunny and dry weather, NO RAINFALL CHANCES,"
77,sacking about weather forest,"Today Partly cloudy, No Possibility of Rain"
72,sacking about weather forest,"Partly cloudy,No Possibility of Rain."
68,sacking about weather forest,Sky is  likely to be partly cloudy no chances of rainfall.
107,sacking about weather information,Cloudy Weather possibility Rainfall.
118,sacking about weather information,"Weather is Partly cloudy,Possibility of light rain.

Overcast, thunderstorms with rain
Feels Like: +30°
Precip chance: 94%
Humidity: 95%"
103,sacking contact no of animal husbandry department,CONTACT NO OF ANIMAL HUSBANDARY DEPARTMENT = 1800 233 0418
78,spirulina training enter,"VENUE: Spirulina Production, Research and Training Centre , Kondayampatti village, MaduraiThe training would be held at Algae Research Institute, No. 6, Loganathan Nagar, 1{+s}{+t}Street, 100 Feet Road, Choolaimedu, Chennai 94.

For registration and further details, contact K. Kandasamy, Assistant Director (G and C), MSME-DI, 65/1, GST Road, Guindy, Chennai-600 032 (Mobile: 72992-09333 or 91108-80000 email: kandamsmetraining7785@gmail. com)."
40,varieties of drumstick,VARIETIES OF DRUMSTICK  -MORINGA ODISI PKM-1 PKM-2 CO-1 SIDHIVINAYAK SHEVGA KONKAN RUCHIRA
32,wheat attain thrips,"qnalfoss=35ml,,15 LITER WATER"
57,wheat market rate,wheat market rate--1650--1900  rups pq
